missoes_por_id;moedas_por_id;area_secreta;acesso_ranking;barra_progresso;minimapa;mensagens_enviadas;mensagens_recebidas;npc;itens_doados;doacoes_recebidas;easter_egg;acesso_diario;acesso_itens;acesso_equipar;som;acesso_jogadores;experiencia_por_id;outras_opcoes;infobox;oculos;escolha_anarquista;qtde_logs;tipo_jogador
0;370;3;0;2;12;0;0;50;0;0;0;6;1;0;0;0;1525;1;121;185;0;4572;player
3;200;5;0;1;10;0;0;135;0;0;0;2;1;2;0;0;360;53;59;0;0;3641;philanthropist
2;440;0;0;0;6;0;0;75;0;0;0;2;0;4;0;0;360;0;1471;0;0;4881;player
2;320;15;3;2;49;2;0;106;0;0;0;6;3;8;7;2;410;18;1299;0;0;5414;philanthropist
4;770;0;1;1;26;0;0;466;0;0;0;5;6;8;9;3;1380;41;1207;0;0;10771;achiever
1;375;2;2;2;8;0;0;119;0;0;0;8;3;2;7;1;1530;46;1695;0;0;11062;philanthropist
18;2635;27;42;3;86;3;2;1350;0;0;3;77;4;17;12;6;3450;239;619;38;1;34001;philanthropist
9;1795;23;5;8;59;3;3;989;3;0;3;75;11;6;0;11;9545;243;986;167;0;16608;player
2;285;2;1;0;0;0;0;124;0;0;0;0;0;1;0;0;480;36;240;4;0;3451;achiever
5;1125;19;0;1;11;0;0;517;0;0;0;9;4;6;0;0;1650;125;326;3;0;8940;achiever
8;2895;13;37;15;11;0;0;973;0;0;0;22;7;11;21;24;4065;163;638;74;0;15598;free_spirit
12;3340;31;8;13;64;0;0;1056;0;0;3;76;8;16;42;3;4420;137;215;80;0;17217;philanthropist
5;1675;24;3;2;49;0;0;1466;0;0;0;38;4;7;9;2;18030;155;185;162;0;16452;player
1;160;0;0;0;1;1;0;34;0;0;0;0;0;0;0;0;240;12;122;0;0;1426;achiever
2;120;5;0;0;4;0;0;56;0;0;0;2;0;1;0;0;290;0;306;16;0;2606;philanthropist
1;340;3;0;0;13;1;1;50;0;0;0;4;0;2;0;0;375;6;213;23;0;2584;philanthropist
2;240;22;1;3;30;0;1;162;0;0;0;15;0;2;5;0;485;41;1186;7;0;4897;player
3;560;9;0;0;30;0;0;72;0;0;0;34;2;3;5;0;985;19;194;55;0;5747;philanthropist
7;2010;12;4;4;59;3;4;720;0;0;2;32;10;17;19;0;3435;96;1424;103;0;12358;achiever
7;1135;38;7;17;74;0;1;2379;0;0;6;121;10;19;0;6;3745;359;145;403;0;33614;free_spirit
11;3330;25;8;14;11;3;3;2022;0;0;2;99;7;11;15;7;27905;178;399;289;0;22744;free_spirit
2;200;0;0;0;0;0;0;124;0;0;0;0;0;0;1;0;175;42;202;0;0;3358;socialiser
3;495;17;0;1;7;5;0;153;1;0;0;13;1;2;3;78;565;29;211;15;0;5931;philanthropist
0;240;0;0;0;1;0;1;7;0;0;0;0;0;0;0;0;655;2;34;3;0;1999;free_spirit
3;1570;1;1;1;7;0;1;401;0;0;0;6;2;2;6;1;1960;36;133;24;1;8057;philanthropist
13;1515;19;0;2;8;0;0;498;0;0;2;16;1;8;3;0;2435;88;284;26;0;8815;achiever
7;1660;4;15;8;65;12;12;605;0;1;3;13;4;16;0;13;2745;100;1428;132;0;16029;free_spirit
4;530;15;0;0;1;0;0;222;0;1;0;6;0;1;1;5;1240;106;417;43;0;6476;philanthropist
2;200;11;1;1;3;5;0;162;0;0;0;9;3;5;3;7;245;60;254;8;0;3862;free_spirit
1;675;4;0;1;3;0;2;95;0;0;0;2;0;1;0;3;1510;31;732;0;0;6112;player
3;185;5;0;0;10;10;4;196;0;0;0;4;2;4;0;10;120;72;314;0;0;4832;free_spirit
8;2355;31;1;0;9;3;13;1154;1;1;1;28;0;3;0;21;4170;227;2095;425;1;23585;socialiser
4;185;18;0;0;1;3;7;180;0;0;0;8;3;2;0;9;215;66;190;3;0;4273;player
1;295;0;0;0;3;0;4;33;0;0;0;0;1;1;0;1;410;9;174;6;0;2922;free_spirit
11;4005;19;0;3;35;32;28;2126;0;1;0;0;3;1;0;3;5770;174;2496;163;2;21391;player
15;6785;30;4;18;36;25;33;2743;0;0;5;53;6;12;0;54;9475;293;2288;191;2;27244;socialiser
7;2020;5;3;2;2;0;0;422;0;0;0;10;2;2;2;18;2525;129;28;295;2;10427;player
5;440;8;2;3;6;11;7;436;6;13;0;15;5;2;6;22;485;76;471;0;2;6652;free_spirit
6;775;7;5;0;3;0;12;237;6;2;0;8;4;0;2;17;1570;83;392;129;0;7534;player
10;4510;28;34;3;37;50;24;2142;6;15;3;38;8;11;7;80;5485;269;1207;187;1;30603;philanthropist
11;6610;28;42;4;41;41;42;1693;12;53;8;50;18;24;88;95;31325;266;1654;504;1;68699;achiever
2;410;7;1;0;7;1;0;72;1;0;0;0;1;5;1;2;960;25;198;36;0;3756;player
3;1320;10;2;0;15;1;0;181;0;0;0;3;2;6;6;4;1670;58;734;2;0;6547;achiever
6;525;16;2;3;30;9;6;352;0;0;2;18;3;4;6;27;850;144;122;96;0;7249;player
